date,postal_code,latitude,longitude,healthy,sick_guess_no_corona,sick_guess_corona,sick_corona_confirmed,recovered_confirmed,recovered_not_confirmed
2020-04-22,22010,73.2215,34.1688,75,5,6,0,2,1
2020-04-22,22620,72.9106,33.9946,31,4,0,0,0,0
2020-04-22,21300,73.198,34.3313,82,2,0,1,0,4
2020-04-22,12350,73.7654,33.8584,2,1,0,0,0,1
2020-04-22,25000,71.5249,34.0151,46,0,1,1,0,0
2020-04-22,23200,72.0231,34.1989,23,0,1,0,0,1
2020-04-22,23430,72.4613,34.1241,20,0,0,0,0,0
2020-04-22,18000,71.8749,35.1977,7,1,0,0,0,1
2020-04-22,26000,71.4429,33.5889,4,0,1,0,0,0
2020-04-22,47080,72.8397,33.7463,1,0,0,0,0,0
2020-04-22,19200,72.3563,34.7492,3,0,0,0,0,0
2020-04-22,43600,72.3609,33.766,5,1,0,0,0,0
2020-04-22,44000,73.0845,33.738,40,1,2,0,0,3
2020-04-22,46000,73.0512,33.5948,39,3,0,0,0,0
2020-04-22,28100,70.6027,32.9854,2,0,0,0,0,0
2020-04-22,74800,67.0648,24.9999,4,0,0,0,0,1
2020-04-22,27200,71.0914,33.1105,3,0,0,0,0,0
2020-04-22,24100,71.9876,34.0105,5,0,0,0,1,1
2020-04-22,74900,67.1209,24.8387,5,0,1,0,0,0
2020-04-22,68100,68.948,26.0436,2,0,0,0,0,0
2020-04-22,10500,74.3131,31.5661,9,0,0,0,0,0
2020-04-22,50400,73.4828,32.5742,1,1,0,0,0,0
2020-04-22,19130,72.4258,35.2227,8,1,0,0,0,0
2020-04-22,72220,68.8467,24.6459,2,0,1,1,0,0
2020-04-22,24420,71.7504,34.1682,3,1,0,0,0,0
2020-04-22,54810,74.4526,31.532,12,1,0,0,0,1
2020-04-22,13100,34.3551,34.3551,2,0,0,0,0,1
2020-04-22,58150,771.932,30.2864,3,0,0,0,0,0
2020-04-22,65200,68.8228,27.7244,3,0,0,0,0,0
2020-04-22,40100,72.6861,30.631,8,0,0,0,0,0
2020-04-22,52600,31.582,74.3294,10,0,0,0,0,0
2020-04-22,56300,73.4534,30.8138,4,0,0,0,0,0
2020-04-22,75500,67.0577,24.8043,8,1,0,0,0,0
2020-04-22,74700,24.9263,67.0221,4,0,0,0,0,0
2020-04-22,74600,67.0017,24.8511,4,0,0,0,0,1
2020-04-22,62020,68.7551,27.5256,1,1,0,0,0,0
2020-04-22,87300,67.0079,30.2,3,0,0,0,0,0
2020-04-22,62300,73.2412,30.0025,4,1,1,0,0,0
2020-04-22,50700,74.2431,31.4736,10,0,0,0,0,0
2020-04-22,57000,73.1114,30.6682,4,0,0,0,0,0
2020-04-22,54770,74.3081,31.4475,2,0,0,0,0,0
2020-04-22,47040,72.7511,33.7715,3,0,1,0,0,0
2020-04-22,32200,70.6455,30.0489,4,0,0,0,0,0
2020-04-22,42200,71.537,32.5839,3,0,1,0,0,0
2020-04-22,54700,74.3239,31.4805,3,0,0,0,0,0
2020-04-22,51310,74.5229,32.4945,9,2,0,0,0,0
2020-04-22,60000,71.5249,30.1575,13,0,1,0,1,1
2020-04-22,38000,31.4504,31.4504,23,1,1,0,0,1
2020-04-22,30000,71.0854,31.6082,1,0,0,1,0,0
2020-04-22,54900,74.3426,31.5893,2,0,0,0,0,0
2020-04-22,29050,70.9019,31.8626,2,0,0,0,0,0
2020-04-22,63100,71.6911,29.3544,6,0,1,0,0,0
2020-04-22,41000,72.3489,32.2955,3,0,0,0,0,0
2020-04-22,54000,74.3131,31.5661,5,0,0,0,0,0
2020-04-22,75300,67.0971,24.918,7,1,0,0,0,0
2020-04-22,31200,70.9428,30.9693,2,0,0,0,0,0
2020-04-22,69000,69.0136,25.5065,1,0,0,0,0,0
2020-04-22,54660,74.3441,31.5102,2,0,0,0,0,0
2020-04-22,10250,73.7537,33.148,1,0,0,0,0,1
2020-04-22,54840,74.3586,31.569,7,0,1,0,0,2
2020-04-22,21230,80.1837,29.5498,1,1,0,0,0,0
2020-04-22,74400,67.0264,24.86,8,0,0,0,0,0
2020-04-22,52470,74.222,31.9765,3,0,0,0,0,0
2020-04-22,91200,62.2861,25.246,1,0,0,0,0,0
2020-04-22,22650,80.3319,26.4499,1,0,0,0,0,0
2020-04-22,89100,66.6057,27.8165,0,1,0,0,0,0
2020-04-22,74200,67.0017,24.8511,3,0,0,0,0,0
2020-04-22,54780,74.3131,31.5661,2,0,0,0,0,0
2020-04-22,54570,74.2845,31.5124,11,0,0,0,1,0
2020-04-22,71000,78.4765,17.388,3,0,0,0,0,0
2020-04-22,54920,74.3749,31.585,3,1,0,0,0,0
2020-04-22,51800,74.88,32.1014,2,0,0,0,0,0
2020-04-22,52000,74.1203,32.4404,1,0,0,0,0,0
2020-04-22,35200,72.3317,31.2781,6,0,0,0,0,0
2020-04-22,75400,67.0673,24.8642,3,0,0,0,0,0
2020-04-22,52250,74.2431,32.1877,8,2,0,0,0,0
2020-04-22,15100,74.4643,35.8819,2,0,0,0,0,0
2020-04-22,75950,67.0641,24.9275,5,0,0,0,0,0
2020-04-22,61100,72.3441,30.0442,2,0,0,0,0,0
2020-04-22,75600,67.0251,24.827,0,0,0,0,0,1
2020-04-22,64200,70.2989,28.4212,2,0,0,0,0,1
2020-04-22,47850,73.1172,33.1908,1,0,0,0,0,0
2020-04-22,75530,67.2371,25.1072,1,0,0,0,0,0
2020-04-22,55050,74.4408,31.1179,2,0,0,0,1,0
2020-04-22,67450,68.3935,26.2447,0,0,0,0,1,0
2020-04-22,79000,68.4472,28.2823,0,0,0,0,0,1
2020-04-22,49600,73.7257,32.9425,1,0,0,0,0,0
2020-04-22,54760,74.3478,31.4515,2,0,0,0,0,0
2020-04-22,39350,73.985,31.7167,1,0,0,0,0,0
2020-04-22,43730,72.6772,33.8192,1,0,0,0,0,0
2020-04-22,54750,74.3939,31.4691,1,0,0,0,0,0
2020-04-22,54950,74.2824,31.6211,1,0,0,0,0,0
